device_id,phase_type,box_no
GP7627736,1 Phase,2987
GP7627737,1 Phase,2987
GP7627743,1 Phase,2988
GP7627745,1 Phase,2988
GP7627749,1 Phase,2989
GP7627750,1 Phase,2989
GP7627751,1 Phase,2989
GP7627752,1 Phase,2989
GP7627754,1 Phase,2989
GP7627756,1 Phase,2990
GP7627757,1 Phase,2990
GP7627758,1 Phase,2990
GP7627760,1 Phase,2990
GP7627761,1 Phase,2990
GP7627765,1 Phase,2991
GP7627770,1 Phase,2991
GP7627771,1 Phase,2992
GP7627772,1 Phase,2992
GP7627776,1 Phase,2992
GP7627777,1 Phase,2992
GP7627778,1 Phase,2992
GP7627779,1 Phase,2993
GP7627780,1 Phase,2993
GP7627781,1 Phase,2993
GP7627790,1 Phase,2994
GP7627793,1 Phase,2994
GP7627794,1 Phase,2994
GP7627796,1 Phase,2995
GP7627797,1 Phase,2995
GP7627798,1 Phase,2995
GP7627801,1 Phase,2995
GP7627802,1 Phase,2995
GP7627804,1 Phase,2996
GP7627805,1 Phase,2996
GP7627809,1 Phase,2996
GP7627811,1 Phase,2997
GP7627812,1 Phase,2997
GP7627813,1 Phase,2997
GP7627818,1 Phase,2997
GP7627820,1 Phase,2998
GP7627821,1 Phase,2998
GP7627824,1 Phase,2998
GP7627825,1 Phase,2998
GP7627826,1 Phase,2998
GP7627830,1 Phase,2999
GP7627831,1 Phase,2999
GP7627832,1 Phase,2999
GP7627834,1 Phase,2999
GP7627835,1 Phase,3000
GP7627839,1 Phase,3000
GP7627840,1 Phase,3000
GP7627841,1 Phase,3000
GP7627842,1 Phase,3000
GP7627844,1 Phase,3001
GP7627845,1 Phase,3001
GP7627852,1 Phase,3002
GP7627853,1 Phase,3002
GP7627855,1 Phase,3002
GP7627856,1 Phase,3002
GP7627857,1 Phase,3002
GP7627860,1 Phase,3003
GP7627862,1 Phase,3003
GP7627863,1 Phase,3003
GP7627866,1 Phase,3003
GP7627867,1 Phase,3004
GP7627868,1 Phase,3004
GP7627869,1 Phase,3004
GP7627870,1 Phase,3004
GP7627872,1 Phase,3004
GP7627873,1 Phase,3004
GP7627876,1 Phase,3005
GP7627877,1 Phase,3005
GP7627882,1 Phase,3005
GP7627885,1 Phase,3006
GP7627887,1 Phase,3006
GP7627888,1 Phase,3006
GP7627889,1 Phase,3006
GP7627890,1 Phase,3006
GP7627894,1 Phase,3007
GP7627896,1 Phase,3007
GP7627897,1 Phase,3007
GP7627901,1 Phase,3008
GP7627903,1 Phase,3008
GP7627907,1 Phase,3009
GP7627915,1 Phase,3010
GP7627916,1 Phase,3010
GP7627919,1 Phase,3010
GP7627923,1 Phase,3011
GP7627926,1 Phase,3011
GP7627928,1 Phase,3011
GP7627930,1 Phase,3011
GP7627934,1 Phase,3012
GP7627937,1 Phase,3012
GP7627938,1 Phase,3012
GP7627942,1 Phase,3013
GP7627948,1 Phase,3014
GP7627950,1 Phase,3014
GP7627951,1 Phase,3014
GP7627952,1 Phase,3014
GP7627954,1 Phase,3014
GP7627955,1 Phase,3015
GP7627958,1 Phase,3015
GP7627959,1 Phase,3015
GP7627962,1 Phase,3015
GP7627965,1 Phase,3016
GP7627968,1 Phase,3016
GP7627970,1 Phase,3016
GP7627971,1 Phase,3017
GP7627974,1 Phase,3017
GP7627979,1 Phase,3018
GP7627987,1 Phase,3019
GP7627990,1 Phase,3019
GP7627993,1 Phase,3019
GP7627996,1 Phase,3020
GP7627998,1 Phase,3020
GP7628001,1 Phase,3020
GP7628005,1 Phase,3021
GP7628009,1 Phase,3021
GP7628013,1 Phase,3022
GP7628014,1 Phase,3022
GP7628015,1 Phase,3022
GP7628016,1 Phase,3022
GP7628021,1 Phase,3023
GP7628026,1 Phase,3023
GP7628028,1 Phase,3024
GP7628029,1 Phase,3024
GP7628031,1 Phase,3024
GP7628032,1 Phase,3024
GP7628035,1 Phase,3025
GP7628040,1 Phase,3025
GP7628041,1 Phase,3025
GP7628056,1 Phase,3027
GP7628083,1 Phase,3031
GP7628104,1 Phase,3033
GP7628125,1 Phase,3036
GP7628181,1 Phase,3043
GP7628218,1 Phase,3047
GP7628263,1 Phase,3053
GP7628329,1 Phase,3061
GP7628338,1 Phase,3062
GP7628369,1 Phase,3066
GP7628390,1 Phase,3069
GP7628393,1 Phase,3069
GP7628396,1 Phase,3070
GP7628442,1 Phase,3075
GP7628466,1 Phase,3078
GP7628469,1 Phase,3079
GP7628477,1 Phase,3080
GP7628509,1 Phase,3084
GP7628516,1 Phase,3085
GP7628533,1 Phase,3087
GP7628555,1 Phase,3090
GP7628898,1 Phase,3132
GP7629021,1 Phase,3148
GP7629023,1 Phase,3148
GP7629103,1 Phase,3158
GP7629113,1 Phase,3159
GP7629138,1 Phase,3162
GP7629141,1 Phase,3163
GP7629243,1 Phase,3176
GP7629251,1 Phase,3177
GP7629260,1 Phase,3178
GP7629393,1 Phase,3194
GP7629458,1 Phase,3202
GP7629499,1 Phase,3208
GP7629503,1 Phase,3208
GP7629505,1 Phase,3208
GP7629556,1 Phase,3215
GP7629568,1 Phase,3216
GP7629586,1 Phase,3218
GP7629608,1 Phase,3221
GP7629634,1 Phase,3224
GP7629661,1 Phase,3228
GP7629663,1 Phase,3228
GP7629664,1 Phase,3228
GP7629665,1 Phase,3228
GP7629666,1 Phase,3228
GP7629668,1 Phase,3229
GP7629669,1 Phase,3229
GP7629670,1 Phase,3229
GP7629671,1 Phase,3229
GP7629673,1 Phase,3229
GP7629674,1 Phase,3229
GP7629675,1 Phase,3230
GP7629676,1 Phase,3230
GP7629677,1 Phase,3230
GP7629678,1 Phase,3230
GP7629679,1 Phase,3230
GP7629680,1 Phase,3230
GP7629681,1 Phase,3230
GP7629682,1 Phase,3230
GP7629683,1 Phase,3231
GP7629684,1 Phase,3231
GP7629685,1 Phase,3231
GP7629686,1 Phase,3231
GP7629687,1 Phase,3231
GP7629688,1 Phase,3231
GP7629689,1 Phase,3231
GP7629690,1 Phase,3231
GP7629691,1 Phase,3232
GP7629692,1 Phase,3232
GP7629693,1 Phase,3232
GP7629694,1 Phase,3232
GP7629695,1 Phase,3232
GP7629696,1 Phase,3232
GP7629697,1 Phase,3232
GP7629698,1 Phase,3232
GP7629699,1 Phase,3233
GP7629700,1 Phase,3233
GP7629701,1 Phase,3233
GP7629702,1 Phase,3233
GP7629703,1 Phase,3233
GP7629704,1 Phase,3233
GP7629705,1 Phase,3233
GP7629706,1 Phase,3233
GP7629707,1 Phase,3234
GP7629708,1 Phase,3234
GP7629709,1 Phase,3234
GP7629710,1 Phase,3234
GP7629711,1 Phase,3234
GP7629712,1 Phase,3234
GP7629713,1 Phase,3234
GP7629714,1 Phase,3234
GP7629715,1 Phase,3235
GP7629716,1 Phase,3235
GP7629717,1 Phase,3235
GP7629718,1 Phase,3235
GP7629719,1 Phase,3235
GP7629720,1 Phase,3235
GP7629721,1 Phase,3235
GP7629722,1 Phase,3235
GP7629723,1 Phase,3236
GP7629724,1 Phase,3236
GP7629725,1 Phase,3236
GP7629726,1 Phase,3236
GP7629727,1 Phase,3236
GP7629728,1 Phase,3236
GP7629729,1 Phase,3236
GP7629730,1 Phase,3236
GP7629731,1 Phase,3237
GP7629732,1 Phase,3237
GP7629733,1 Phase,3237
GP7629734,1 Phase,3237
GP7629735,1 Phase,3237
GP7629736,1 Phase,3237
GP7629737,1 Phase,3237
GP7629738,1 Phase,3237
GP7629739,1 Phase,3238
GP7629740,1 Phase,3238
GP7629741,1 Phase,3238
GP7629742,1 Phase,3238
GP7629743,1 Phase,3238
GP7629744,1 Phase,3238
GP7629745,1 Phase,3238
GP7629746,1 Phase,3238
GP7629747,1 Phase,3239
GP7629748,1 Phase,3239
GP7629749,1 Phase,3239
GP7629750,1 Phase,3239
GP7629751,1 Phase,3239
GP7629752,1 Phase,3239
